TIMELINE,DATE,DAILY_NEW_WALLET
Days After Launch,2023-01-20 00:00:00.000,206
Normal Days,2023-01-12 00:00:00.000,180
Normal Days,2023-01-03 00:00:00.000,141
Days After Launch,2023-01-19 00:00:00.000,173
Days After Launch,2023-01-18 00:00:00.000,194
Normal Days,2023-01-10 00:00:00.000,162
Day of Station Launch,2023-01-14 00:00:00.000,274
Normal Days,2023-01-02 00:00:00.000,125
Days After Launch,2023-01-16 00:00:00.000,274
Normal Days,2023-01-05 00:00:00.000,95
Normal Days,2023-01-08 00:00:00.000,125
Normal Days,2023-01-09 00:00:00.000,159
Normal Days,2023-01-04 00:00:00.000,112
Normal Days,2023-01-06 00:00:00.000,114
Days After Launch,2023-01-15 00:00:00.000,362
Days After Launch,2023-01-17 00:00:00.000,205
Days After Launch,2023-01-22 00:00:00.000,196
Normal Days,2023-01-13 00:00:00.000,198
Normal Days,2023-01-11 00:00:00.000,140
Normal Days,2023-01-07 00:00:00.000,105
Days After Launch,2023-01-21 00:00:00.000,231
Normal Days,2023-01-01 00:00:00.000,126
